"","text"
"58","biden announces covid vaccine supply surge     via"
"59","    idea   initial mess ups looking         distribute vaccines  children"
"60"," covid lies  vaccine supply lies twitter   shut    ago frontlinepbs"
"61","  arent  following science covid vaccine    proven  stop illness  contagion  spread  deaths   people  poc      die  distribute vaccines   require focus   people"
"62","canada building facilities   vaccines  covid   viruses"
"63","  vaccine doses       people dont            covid vaccine  statebystate guide covidvaccine"
"64","california revamps covid vaccine delivery system amid criticism  slow rollout cnn"
"65","canadian mogul fined  getting covid vaccine meant  indigenous residents canada  guardian"
"66","cdc fda investigating california moderna covid vaccine lot    usual aller"
"67"," article "
"68","pfizer inc   tuesday    partner biontech se   developing  booster shot  protect  covid variants covid vaccine pfizer qatardaynews qatarday"
"69","johnson amp johnson expects  share details   companys latestage covid vaccine trial   week covid vaccine johnsonandjohnson qatardaynews qatarday"
"70"," biden administration  million  coronavirus vaccines   funnel  doses      bid  deliver    presidents promise  curb  pandemic president joe biden announced tuesday"
"71","global covid  surpass million  nations tackle vaccine shortages pfe"
"72","tell europe help share  covid vaccine  fardeenblaq globalcitizen duxdesign teachmillions edutainmentbd"
"73","      south africa covid variant"
"74","  reading  science  masks miscarriages following  covid vaccine  people tell    shouldnt share data bc   scare people   getting  experimental vax    bit  idiocy   internet    log   awhile"
"75","essential workers disability advocates fear  left   california shifts  agebased covid vaccine priority highriskca"
"76","quick question   recommended   vaccines   covid vaccine"
"77","global covid  surpass million  nations tackle vaccine shortages"
"78"," added context  comments   retired ceo  gsk  produced  hn vaccine  wait   canada     read     parroting  false narrative   dont  production   harpers fault"
"79"," york   fair distribution plan  covid vaccine"
"80","die  norway  receiving pfizer ccp virus vaccine via"
"81","im looking   vaccine  god variants  okay   covid variants vaccine  straight  developing  god vaccine"
"82","online chat casino ceo  wife pose  motel workers travel  remote canadian territory  covid vaccine"
"83"," december americans  received   dose  covid vaccine   suffered    health impact events thats   effect rate     mercola dot com   truth"
"84","elderly people  norway  died  receiving pfizers covid vaccine  world health organization  urging health officials  continue giving   seniors    people    covid vaccine history  hold     responsible   deaths"
"85","hope doubt loom  human clinical trials begin  calgarymade covid vaccine"
"86"," public    wait  august  covid vaccine"
"87","scientific research        past    advancements occur   times  crisis  covid     example ww  common cold  doesnt   vaccine    constantly mutating    impossible  cover   strands"
"88","         vaccine rollout proceeds smoothly quickly  efficiently auviews australias covid vaccination challenge via"
"89","  bullshit health canada      pfizer pfizerbiontech presses health canada  amend covid vaccine label  increase doses    vial"
"90","canadian casino ceo wife accused  posing  motel workers   covid vaccine meant  locals via"
"91","getting  email    schedule  start  grandmas covid vaccine helped   slightly annoying ass day"
"92","im seriously   moral debate   covid vaccine line  moving forward    cheating  system"
"93","sean hannity  hes beginning   doubts  getting covid vaccine"
"94","dear frontline worker  records       receive   covid vaccination  book  appointment  week  inform      received   vaccine  inform     wish "
"95"," comments tonight"
"96","thank         track  covid vaccine recipients"
"97","covid vaccination hub providers"
"98"," micro example"
"99","global covid  surpass million  nations tackle vaccine shortages"
"100","     march  ran covid drive thru testing  vaccine distribution     tested  vaccinated    eating chicken nuggets"
"101","constantly complaining      taking  distribute  covid vaccine  doing   hurting  morale    overwhelmed  exhausted healthcare workers"
"102","  vaccine euphoria      square   covid escape variants"
"103","    program similar      patients  chronic health issues    covid vaccine"
"104","  moderna covid vaccine doses     six weeks apart"
"105","santa clara cuts  covid vaccine supply  hospital   teachers skip  line jennifer lubusiness"
"106","thank    yes appreciating       cherish  moments        imagine  challenging     able     covid  happy    st vaccine"
"107","biden administration   million doses  covid vaccine  pfizer  moderna"
"108","ok  dont agree        im seeing covid  hand  isnt   dumb   cant    workers  vaccine  youre gonna    risk   maybe   vaccine accessible   asap"
"109","missouri  recieved  additional doses   covid vaccinethis   percent increase  doses"
"110","missouri  recieved  additional doses   covid vaccinethis   percent increase  doses"
"111","  fantastic    talking      pops      talking     canada madeincanada coronavirus vaccine starts human clinical trials"
"112","moderna covid vaccine      pregnant women  via"
"113","biden announces covid vaccine supply surge     nbc  via"
"114","teachers  wisconsin   eligible  covid vaccines starting march tonight   hear  districts  reacting   news  planning    staff vaccine appointments"
"115","oklahoma    garbage       person   health  shouldnt  eligible    covid vaccine     asthmatic grandmother    "
"116","maybe ive watched   netflix  im fairly confident  drug dealers  facilitate   distribution   covid vaccine   government"
"117","pfizerbiontech presses health canada  amend covid vaccine label  increase doses    vial  globe  mail"
"118"," absolutely beautiful story  living  alzheimers   strand  pearls im  glad  mother    covid vaccine"
"119"," vaccination process   started rotarians   promote  governments efforts   counter  misinformation   ensure   indian  avail   covid vaccine  fear  favour"
"120","california revamps covid vaccine delivery system"
"121","foxx stunned   public defenders arranged  coronavirus vaccine  cook county jail ahead   staff hi india  cook county public defenders received  covid vaccine   cook county jail  week unbeknownst"
"122","ceo  canadian gaming company  wife charged  flying  yukon chattering private plane  beaver creek   covid vaccine  bet  didnt gamble   fallout  repercussions greed nomoralcompass"
"123","business exec   wife charged  flying  remote canadian town   covid vaccine officials "
"124"," weeks ago  united    invaded  rednecks  white collar libertarians  week     president  week reddit  killing  hedgefund  fun using  wreckage  gamestop    life moves  fast  covid vaccine moves  slow"
"125","received     pfizer covid vaccine shots "
"126"," china  build hospitals  weekswhy cant ontario build  retool  potential covid vaccine production plant  months   ontario  sit idly   risk    adequate supply    partner  medicago"
"127"," china  build  hospitals   weeks  cant canada build  pfizer vaccine plant   months     europe  understandably controlling  export  vaccines  cant  government adopt  cando policy"
"128"," wednesday january president yoweri museveni  launch  ugandas  clinical trial   covid vaccine"
"129","president biden canceled  senior spring break trip  week  demanding week quarantine  returning home  cancun    top   negative test   travel  negative test  return amp  relief    covid   vaccine"
"130"," warns modernas vaccine      pregnant women via"
"131","     deemed  essential         risk  covid exposure    gov        getting  access   vaccine   lives arent actually    jobs fuck "
"132"," covid vaccine sign  page  basically  hard  getting  ps online"
"133","buzzfeed news  wealthy couple reportedly pretended      remote indigenous community    covid vaccine via"
"134","tara   moderna     booster shot   variants"
"135"," biden administration    buy million  covid vaccine doses"
"136","makes sense kill     covid sterilize   via vaccine fits   demelites plan       themtheir family  gotwill  vaccinated    list"
"137","      ad campaign       countries  rolling   vaccine department  health launches  covid vaccination campaign via"
"138","pharmacist charged  covid vaccine spoiling  plead guilty"
"139","fighting stigma public schools    lead  vaccine blitz jonas salk nearly   americas public schools    play  pivotal role  president bidens plan  rapidly deploy covid vaccines"
"140","mass residents    register  covid vaccine cbs boston"
"141","covid scandal former paramedic    accused  stealing vials  covid vaccine   claims      vaccinations"
"142","   alaskas covid vaccine website  frustrating     hard  people      useful improvements recently   story   improvements thats worth  quick read akleg"
"143","french selfesteem hit  pasteur institute abandons covid vaccine"
"144"," question    federal government using   discredited politicised dcho  cno  ads  covid vaccine  persuade people  dont trust govt dcho promoted useless covidsafe app"
"145","business exec   wife charged  flying  remote canadian town   covid vaccine officials  selfish"
"146"," nice    vaccine  actually  vaccine covid"
"147"," relieved  yearold dad   covid vaccine "
"148","merck scraps covid vaccines    effective    virus  recover covid covid covid covidvaccine covid covidvaccine vaccination"
"149","women coronavirus vaccines wont   infertile  "
"150","covid boris johnson warns eu  restrictions  coronavirus vaccine supplies politics news sky news  europe block  vaccine deliveries  uk  uk government  commence immediate withdrawal   uk nato forces  europe job "
"151","covid boris johnson warns eu  restrictions  coronavirus vaccine supplies politics news sky news"
"152","north carolina    limited supply  covid vaccines coming     wednesday  federal government  sending  lot    normally  according  ncdhhs secretary dr mandy cohen"
"153","north carolina    limited supply  covid vaccines coming     wednesday  federal government  sending  lot    normally  according  ncdhhs secretary dr mandy cohen"
"154","   tweeters using trudeauvaccinefail   covid deniers antimaskers andor antivaxxers     pandemic     reset   masks  infringing  rights   vaccines  poison    care   vaccine inventory cdnpoli"
"155"," youre saying   wear masks  flu season  cant   disagree  theres   yearly vaccine   flu    time   access     covid    virus   immunity    vaccines   im      math"
"156","global covid  surpass million  nations tackle vaccine shortages"
"157","  million covid   recorded   world till tuesday   remains  worsthit country   world   million coronavirus  read "
"158","steven brandenburg  wisconsin pharmacist accused  trying  spoil dozens  vials  covid vaccine  facing   prison   agreed  plead guilty  federal court prosecutors "
"159","      hcq  cant   treatment   vaccine wont  able  continue  dont    vaccine  vaccine papers    vaccines   common cold  flu covid covid corona coronavirus"
"160","yooo      covid vaccine  goooo"
"161","    dose  covid vaccine       dose  weeks   feel  lot  safer  forward"
"162","chickfila helps direct covid vaccination traffic  meanshould  tried   month ago"
"163","yes   expect  scientists      lord   able      vaccine     yall believe    cure  cancer aids etc  cant wrap yall mind   covid vaccine  created"
"164","celebrities    getting  covid vaccine  essential workers    means   money  stay  home"
"165","  tyler perry feel    brag        covid vaccine  essential workers   told  wait thats  elitist bullshit  "
"166","  info modernas covid vaccine   recommended  pregnant women according    data released    world health organization moderna vaccine texas pregnancy"
"167","moderna     single product   marketplace"
"168","   reading abt  emotional psychological effects  covid pandemic  kids im   kid     extra irritable    vaccine rollout fucked angry im wondering   falls semester   teach    normal    vaccinated  "
"169","st airborne division leaders mark blanchfield army community hospitals covid vaccine transition  healthcareemergency personnel  frontline essential workers clarksville clarksvilletn montgomerycounty fortcampbell bach covid coronavirus"
"170","wait   dont   covid vaccine  youre convinced    microchip  phone definitely isnt tracking   move  listening    bank definitely isnt tracking  single purchase"
"171"," nebraska launches   vaccine registration platform   week nebraska residents   able   online  register  covid vaccines   health district"
"172","peru volunteer  sinopharm covid vaccine trial dies  pneumonia"
"173","hope doubt loom  human clinical trials begin  calgarymade covid vaccine"
"174"," week  nd pfizer vaccine shot   israelis  covid"
"175","      receive  covid vaccine"
"176","pharmacist charged  covid vaccine spoiling  plead guilty"
"177","idaho leaders     covid vaccine allotment  low"
"178","  youtube coronavirus eu mulls export controls   threaten canadas covid vaccine supply"
"179","   talking ab  budweiser   spending money  advertise themselves  super bowl  instead investing    covid vaccine thats  hot girl shit"
"180","getting  covid vaccine    indeed   debatable subject  people  divided    comfortable taking  vaccine       vaccine covid covidvaccine covid coronavirus pandemic"
"181","  vaccine help  covid variants     donalds    office anymore amp    kill millions    vote gop    wrong besides  ya mean besides  world "
"182"," infuriating  read  hollywood actors offering bribes  doctors   covid vaccine"
"183","     vaccine   receiver pleurisy  pain contorts  body  hours  days   time  daughter    pleurisy  covid    tylenol  lidocaine patches pleurisy  hell   visit "
"184","pharmacist  plead guilty  tampering  doses  covid vaccine via"
"185","   significant confusion  covid vaccine rollout  cook county attorneys      inoculated   jail  week"
"186","thank   statement  print  powerful  heard  webinars  relationship  severity  covid  risk        cancer    statsrefs  st vaccine bc gt  bc cancer survivor unconscionable  lt   wait"
"187","covid variants   vaccine explained  "
"188","  details  health officials volunteers create covid vaccine database vaccinedatabase covidcalifornia"
"189"," biden administration    buy million  covid vaccine doses"
"190","yeah"
"191","yes  ok        covid vaccine pa  close  sitting bc   trump  look bad"
"192"," warns modernas vaccine      pregnant women"
"193"," media outlets  corrupt  broken     current program  covid lie  vaccine push racial division fuel hatred  pres trump start  continue wars distractions report local news  inject agendas   stories  "
"194","vice president kamala harris receives   dose   covid vaccine"
"195","  wish    scheduled   covid vaccine  thursday     terrible  weather    arent   available appointments    field  coming    dont    option  cancelling"
"196","   covid vaccine ill   guys    mutations start happening"
"197","okay media please stop  people getting needles plunged   arms     covid vaccine   shot   trypanophobics   nonetheless committed  getting vaccinated   qualify dont    traumatized daily   images   awaits "
"198","modernas covid vaccine   recommended  pregnant women according   news release tuesday   world health organization"
"199","vergeire      infected  covid    inoculater    disease   noted   individuals     vaccine  months    infected"
"200","  laging handa briefing  ptv doh usec maria vergeire   preparations   deployment  covid vaccine   underway"
"201","   flu vaccine       immunocompromised    pcr covid tests   teach  positives "
"202","serious question     science  herd immunity     idea   vaccine lasts     covid hopefully  lesser symptoms amp unknown     infect    adding   "
"203","ok sorry  stopped tweeting  register   covid vaccine"
"204"," vaccines      pandemic"
"205","   money   covid vaccine    rbn  bee tourism fund     chief"
"206","covid      sa     population ivermectin protocols vaccine          wave     manageable"
"207","     eu petition  elaborates  antibodies produced   covid vaccine   women infertile  attacking syncitin protein required  forming  placenta  look  source doc"
"208","ive seen  push  host public hearings  hold healthcare providershealth department accountable   covid vaccine rollout          da office sf citizensyour constituents  "
"209","   vaccine introduces rna code   covid spike protein     protein   responsible  cytokine storm   bodies   protein continuously   immune system responds continuously   constant   autoimmune response"
"210","  arrival   vaccine   holidays   health officials look  bring covid   restrictions    central coast"
"211","   tweet hank aaron sent  message  black americans  coronavirus vaccinations  safe  aaron died  vaccine skeptics  antivaccination advocates latched onto  tweet  spread misinformation   vaccine"
"212","people  oppose vaccines  cite  personal choice   wisconsin incident    antivaxx pharmacist didnt   damn   personal choices  hundreds  people      coronavirus vaccine"
"213"," employers  prepare   biden administrations plan  jumpstart  covid vaccination process"
"214","president biden  tuesday  million covid vaccine doses      expects    delivered  summer"
"215","ive heard  soon   vaccine  type versions  covid   dont "
"216","covid vaccine shinees comeback  saved"
"217","    covid vaccine   cdc meanwhile   scale clinical trials   pharmaceuticals    stage"
"218","wait    image  people im  supposed  shame      porta potties"
"219"," city opaquely contracted  vax distribution   startup        profit gathered everyones personal info  apparently  yo ceo   skimming    doses     friends"
"220","vaccine       combat covid epidemic  totally agree  "
"221","   vid    hivconcer etc     covid vaccine    profit  gonna    vaccine"
"222","county public health officials reported  covid   deaths tuesday   marked   day  vaccination super site  petco park  closed  repairs  mondays inclement weather"
"223","health care worker dies   dose  covid vaccine investigations underway"
"224","  vaccine   sideeffect free  vaccines deliver reactogenic sideeffects understand   effects  covid vaccines pfizer  moderna  messages  volunteers worstcase scenario"
"225","     lilly drug bamlanivimab  infusion lasts  month    effective  preventing covid attractive  ppl waiting   vaccine appointment"
"226","delaware promised  increase  covid vaccine   feds focus  remain  administering  doses netde decovid"
"227","eight rural counties  texas    top counties    vaccination rate including throckmorton county  story  hear     vaccine rollout tomorrow morning starting "
"228","  save  life  vice president kamala harris received  dose  covid vaccine  encouraged people       "
"229"," covid vaccine  india   empoweringdoctors startup"
"230","sooo im    covid vaccine   im hungry  gimme food"
"231","  wont  sick   fallen sick    alright   weeks time third vaccine wont   covid free"
"232","breaking germany challenges astrazeneca covid vaccine covishield efficacy reports   basis   data  available      efficacy   overs lies below covidvaccine"
"233"," dont   theres    dont   data  maybe  shouldnt  ahead   experiment  pregnant women amp  unborn babies yathink"
"234","desantis  white house statement  floridas covid vaccine doses  disingenuous"
"235","edmonton calgary public  catholic school boards advocating  staff   prioritized  covid vaccine"
"236","pregnant women    modernas covid vaccine  warns"
"237","    doubt   pfizer covid vaccine  remember pfizer created viagra"
"238","nepal covidvaccine rollout pm oli  inaugurate drive  nepal "
"239","according  governor wolf  biggest challenge    facing   shortage  doses   federal government"
"240","hypocrite   complaining  tx   receiving vaccine allotments   hell    trump   office  didnt  complain  trump   didnt crook  ag   condemn  insurrection  sue trump"
"241","covid vaccine   virus    retreat   wait    indian express"
"242","  million doses  countries   administered according  data collected  bloomberg   rate  roughly million doses  day  average"
"243","getting dose   covid vaccine"
"244","global initiative  covid vaccine records"
"245","  tune  chics  times stab "
"246","   vaccine people  gotten covid   arent     produce antibodies   variants  changes  "
"247","  covid vaccine  super light headed earlier    hours   arm  hurts   bitch"
"248","covid update  day  lower   san mateo county approves restaurant relief fund san francisco  oakland zoos  reopen heres     coronavirus pandemic   bay "
"249","     covid vaccine   vp received   thats  fair     else"
"250","   theres  vaccine thats proven  prevent covid infection     blaming  else       shameful  signatures     greatbarringtondeclaration"
"251","    vaccine covid cause disease"
"252","amid  demand minnesota offers covid vaccine lottery"
"253","live podcast blacks trust   united   blackcommunity covid executiveorder revoltuion vaccine"
"254","fromthemagazine  competitions cancelled   tokyoolympics doubtful    worry    covid pandemic  played havoc   athletics calendar    world"
"255"," wisconsin pharmacist accused  trying  defrost  spoil dozens  vials  covid vaccine agreed tuesday  plead guilty  federal court"
"256","mike hosking mikes minute government    hot air  covid vaccine"
"257"," craving nashville hot chicken   effect   covid vaccine"
"258","peru volunteer  sinopharm vaccine trial dies  covid pneumonia university "
"259"," covid   plateaued bcs provincial health officer   province    precipice   vaccine   relied   "
"260","pfizerbiontech presses health canada  amend covid vaccine label  increase doses    vial"
"261"," fedex sensors  analytics fuel covid vaccine distribution"
"262","mass residents    register  covid vaccine appointment starting wednesday"
"263","theres  evidence    vaccines  covid cause infertility  thats  worry thats  cited   health care workers   reason theyre reluctant     line    shots    myth     "
"264","vaccine waitlist people  signed    pm tuesday according harris county judges office  portal launched  noon"
"265","buchanan county  getting help  rolling   covid vaccine thanks   appalachian college  pharmacy"
"266","californias covid vaccine distribution plan changes  push   essential workers  move   adults"
"267","  north carolina dhhs website     dose vaccines       white people"
"268","covidrelated crimes    growing reports nationwide  crimes involving vaccines  accusations  hoarding doses  florida  allegations  phony vaccines  sold  patients  washington "
"269","pharmacist charged  covid vaccine   plead guilty news"
"270","vaccine information      dose  eastern iowa"
"271"," logistics  getting  covid vaccine  manufacturers      success  nearly half   vaccines    distributed  planned reports   kennedy proposes  solution   growing "
"272","  help rollout  covid vaccine  canberra via"
"273","hollywood actors  covid vaccine scramble   hunger games variety"
"274","  recovered  covid   guess im    wouldnt recommend getting  vaccine naturally"
"275","maryland   th     distributed covid vaccine      administered    total supply    received fellow underachievers include california rhode island virginia amp kansas"
"276","hold  veterinary workers  prioritized   covid vaccine becore teachers"
"277"," former wisconsin pharmacist  agreed  plead guilty  intentionally tampering  hundreds  doses  moderna incs covid vaccine"
"278"," yes maam   covid vaccine "
"279","im    anymore        absolutely   vaccine  id    able    covid damage manifest   chronic illness  im   im    dick       understand    infect "
"280","modernas covid vaccine   recommended  pregnant women according   news release tuesday   world health organization"
"281","    vaccine   answer fauci endorses doublemasking   covid vaccine news lifesite"
"282","   hunger games       game     resorted  lying   level  selfishness  weve   expect hollywood elite  covid vaccine scramble   hunger games  "
"283","  considered essential workers    appointment    covid vaccine tomorrow im proud        community  herd immunity  soon   hawaii  capitol"
"284"," tf yall crying  yall  beat covid  yall   mf vaccine shit yall   vaccine"
"285","covid vaccine  ev  "
"286","yea thats      investigate heres  collection   stories  theyre  saying      people rip  hours  getting injected"
"287","   concerns     reaction  people dying   vaccine     thats    instead  acknowledging  vax companies   saying        people  dying  day  weird"
"288"," avoiding  vaccine   plague  isnt racism  dont      covid amp breezed    ill risk   lol"
"289","acetamines   carcinogen  animals causing liver tumors  possibly  humans      looking   extremely  exposure  personally id  happier    vaccine   covid"
"290"," truth   covid vaccine"
"291"," supply isnt   issue      dont care    issued  instead   curious  press conferences  front  publix"
"292","denmark developing digital covid vaccine passport article amp reuters"
"293"," arent     plan  distribute  covid vaccineour economy doesnt      wait"
"294","darden     requiring employees   vaccinated   strongly encouraging  freshvoicesrise"
"295","   vaccine   mrna gene therapy  zero  term safety profile    manufacturer  indemnified"
"296","lives  livelihoods   depend  vaccines    idea  successful  vaccine   covid  continually  step ahead   influenza   depends   gov dialling   hysteria  guys   "
"297","team investigates vaccine recipients scrambling  schedule nd covid shot  time"
"298","im  pregnant doctor     covid vaccine"
"299","moderna covid vaccine    fetal cells oh thank          vaccinated  ethical feelings   heart hurts   boys     heartwrenching     science   un babies people"
"300","european stocks rise despite concerns  covid vaccine rollout yahoo finance uk"
"301","   covid vaccine shot  friday  havent    zombie im  disappointed"
"302","madeincanada covid vaccine   manufactured  calgary clinical trials   begun calgary herald"
"303","   canadian vaccine   trial  human volunteers  read  article  securing     advantageous  crazy name prx covidx  "
"304","madeincanada covid vaccine   manufactured  calgary clinical trials   begun calgary herald"
"305","madeincanada covid vaccine   manufactured  calgary clinical trials   begun calgary herald   look"
"306"," european union invested billions  help  pharma companies develop  vaccine trudeaus liberals  partnering  china believe   develop  vaccine   china   covid calgary pharma co  offered  kiss  quebec ass amp move  montreal"
"307","indigenous leaders told  virtual meeting    left  fend  themselves   covid tests basic protective equipment  healthcare   reaching  remote forest communities"
"308"," notable feature  frydenburg  abc local melbourne radio  morningwas  scatter gun namedrop"
"309","australia news live nsw considers easing covid restrictions  vaccine information campaign launches"
"310","berejiklian    comment    covid vaccine advertising campaign    therapeutic "
"311","australia news live nsw considers easing covid restrictions  vaccine information campaign launches"
"312","australia news live nsw considers easing covid restrictions  vaccine information campaign launches"
"313","australia news live nsw  ease covid restrictions  vaccine information campaign launches"
"314","australia news live nsw considers easing covid restrictions  vaccine information campaign launches"
"315","ive    hop    reasons im  scared   covid vaccine     dont feel    expose   maria     reasons lmao"
"316","indonesians gt  someones irrelevant birthday trending gt omg guys covid vaccinechip"
"317","guys  father  diagnosed  covid  getting  vaccine  isnt doing  prayers   greatly appreciated"
"318","   eus entire focus amp structures  geared  controlling     looking outwardly   benefit              organisation especially   crisis"
"319","india kicks   massive covid vaccination drive"
"320","hours post nd covid vaccine body aches headache lowgrade temp shivers     vaccine    heartbeat  im  glad  dont   vaccinated covid moderna"
"321"," concerned  california shifts  agebased covid vaccine system"
"322"," looking  experts review experts  change  mind heres  cdc hides   esp covid vax thats killedmaimed  animal trials skipped straight  human   luck"
"323"," lady   highly qualified   brave please watch  stand  truth   covid vaccine"
"324","nzpol covid superiority spin emanating daily  pms office lamentable  couldnt    australia  testing  capita   tried theyre    vaccine theyre manufacturing  australia  "
"325","florida gov desantis  bogarting covid vaccine   vaccinate twice   people   words   playing god   federallyfunded drug   federally run program paid   federal tax dollars"
"326","tl dr edition wealthy couple flew   indigenous nation pretended   local workers    vaccine   caught   airport"
"327","   weigh risks  medication  risks       benefits outweigh   millions  people  dying  covid  ish people  potentially died   vaccine  doesnt mean  deaths arent sad   insignificant  means "
"328","breaking gamestop  produce covid vaccine"
"329","  tara   lucky      covid vaccine shot  information  receiving  crucial  dose   tough   "
"330","   vaccinate   day  unless private hospitals start vaccinating  population   struggle   pace  vaccine production   outweighs utilisation unlike  countries  dont  shortage  supplies"
"331","judge tosses   doctor accused  stealing covid vaccine  york post"
"332","wisconsin pharmacist pleads guilty  destroying hundreds  covid vaccine doses"
"333","supply limitations slow milwaukees covid vaccine distribution fox milwaukee"
"334"," officials push       covid vaccines  inoculate  nations vulnerable longterm care residents  nursing homes  facing  opposite challenge     extra vaccine doses dont   waste"
"335","  tara   lucky      covid vaccine shot  information  receiving  crucial  dose   tough   "
"336","covid vaccine delays add  layer  angst   albertans"
"337","breaking florida gov ron desantis announced via twitter tuesday    florida  receive  doses   covid vaccine    previous weekly allotment  doses   federal government"
"338","canadian mogul fined  getting covid vaccine meant  indigenous residents covid covid canada"
"339","poverty inequality  worsening due  covid  unfair distribution  wealth amp resources   promote fair globalization help poor amp vulnerable equal jab  vaccine increase jobs amp social protection"
"340"," wouldnt  theyre getting  benefit  trumps laziness   covid vaccine rollout"
"341"," jcvigov  killing hundreds   actively discriminating     vaccine priority         covid risk     woman   limited vaccine sensibly  save hundred  lives  protect  nhs  jcvi negligence"
"342"," background"
"343"," article   lawquacks  highlight   laws    malaysian government  power  mandate  covid vaccine"
